Depth,Temperature
0,31.881
0.5,31.918
1,31.962
1.5,32.009
2,32.034
2.5,32.021
3,31.998
3.5,31.998
4,32.013
4.5,32.013
5,31.99
5.5,31.967
6,31.97
6.5,31.993
7,32.001
7.5,31.983
8,31.976
8.5,32.003
9,32.023
9.5,32.003
10,31.991
10.5,32.018
11,32.035
11.5,32.014
12,31.997
12.5,32
13,31.993
13.5,31.978
14,31.997
14.5,32.046
15,32.081
15.5,32.07
16,32.022
16.5,31.988
17,32.014
17.5,32.076
18,32.099
18.5,32.07
19,32.033
19.5,32.024
20,32.037
20.5,32.054
21,32.056
21.5,32.045
22,32.041
22.5,32.047
23,32.053
23.5,32.061
24,32.074
24.5,32.078
25,32.058
25.5,32.024
26,32.012
26.5,32.035
27,32.061
27.5,32.051
28,32.018
28.5,32
29,32.007
29.5,32.027
30,32.057
30.5,32.086
31,32.09
31.5,32.06
32,32.029
32.5,32.033
33,32.054
33.5,32.059
34,32.051
34.5,32.049
35,32.057
35.5,32.067
36,32.068
36.5,32.061
37,32.057
37.5,32.066
38,32.079
38.5,32.077
39,32.056
39.5,32.039
40,32.048
40.5,32.074
41,32.091
41.5,32.084
42,32.067
42.5,32.072
43,32.099
43.5,32.119
44,32.121
44.5,32.105
45,32.078
45.5,32.076
46,32.112
46.5,32.136
47,32.111
47.5,32.077
48,32.076
48.5,32.096
49,32.104
49.5,32.088
50,32.072
50.5,32.09
51,32.135
51.5,32.151
52,32.12
52.5,32.088
53,32.082
53.5,32.085
54,32.082
54.5,32.088
55,32.106
55.5,32.122
56,32.124
56.5,32.118
57,32.111
57.5,32.107
58,32.108
58.5,32.118
59,32.13
59.5,32.134
60,32.134
60.5,32.13
61,32.124
61.5,32.134
62,32.159
62.5,32.164
63,32.142
63.5,32.131
64,32.136
64.5,32.132
65,32.134
65.5,32.153
66,32.163
66.5,32.154
67,32.158
67.5,32.173
68,32.162
68.5,32.139
69,32.153
69.5,32.194
70,32.204
70.5,32.186
71,32.199
71.5,32.241
72,32.252
72.5,32.217
73,32.184
73.5,32.184
74,32.201
74.5,32.213
75,32.22
75.5,32.228
76,32.228
76.5,32.208
77,32.181
77.5,32.18
78,32.198
78.5,32.189
79,32.194
79.5,32.284
80,32.064
80.5,30.698
81,28.219
81.5,26.085
82,25.22
82.5,24.573
83,23.217
83.5,21.916
84,21.422
84.5,21.346
85,21.271
85.5,21.275
86,21.336
86.5,21.332
87,21.241
87.5,20.915
88,20.373
88.5,20.396
89,21.856
89.5,24.196
90,25.34
90.5,23.943
91,21.294
91.5,19.868
92,20.181
92.5,20.713
93,20.573
93.5,20.246
94,20.11
94.5,19.945
95,19.766
95.5,20.022
96,20.852
96.5,21.706
97,22.024
97.5,21.927
98,21.84
98.5,21.848
99,21.829
99.5,21.809
100,21.849
100.5,21.895
101,21.917
101.5,21.947
102,21.957
102.5,21.905
103,21.852
103.5,21.862
104,21.889
104.5,21.887
105,21.888
105.5,21.89
106,21.857
106.5,21.812
107,21.809
107.5,21.839
108,21.814
108.5,21.603
109,21.226
109.5,21.029
110,21.295
110.5,21.745
111,21.905
111.5,21.807
112,21.778
112.5,21.861
113,21.907
113.5,21.914
114,21.941
114.5,21.956
115,21.918
115.5,21.849
116,21.799
116.5,21.777
117,21.673
117.5,21.39
118,21.073
118.5,20.921
119,20.897
119.5,20.993
120,21.363
120.5,21.856
121,22.07
121.5,21.993
122,21.931
122.5,21.961
123,21.971
123.5,21.945
124,21.947
124.5,22.008
125,22.094
125.5,22.133
126,22.096
126.5,22.044
127,22.041
127.5,22.074
128,22.084
128.5,22.045
129,21.994
129.5,21.968
130,21.94
130.5,21.888
131,21.869
131.5,21.905
132,21.921
132.5,21.882
133,21.858
133.5,21.882
134,21.905
134.5,21.906
135,21.885
135.5,21.835
136,21.779
136.5,21.768
137,21.802
137.5,21.849
138,21.916
138.5,22.035
139,22.182
139.5,22.303
140,22.433
140.5,22.602
141,22.621
141.5,22.331
142,21.921
142.5,21.665
143,21.577
143.5,21.528
144,21.495
144.5,21.484
145,21.462
145.5,21.455
146,21.483
146.5,21.491
147,21.464
147.5,21.473
148,21.541
148.5,21.643
149,21.791
149.5,21.989
150,22.147
150.5,22.165
151,22.084
151.5,22.061
152,22.168
152.5,22.276
153,22.235
153.5,22.11
154,22.101
154.5,22.258
155,22.431
155.5,22.493
156,22.457
156.5,22.398
157,22.374
157.5,22.381
158,22.368
158.5,22.328
159,22.326
159.5,22.414
160,22.546
160.5,22.638
161,22.683
161.5,22.709
162,22.68
162.5,22.569
163,22.447
163.5,22.413
164,22.488
164.5,22.615
165,22.726
165.5,22.801
166,22.845
166.5,22.857
167,22.889
167.5,23.047
168,23.291
168.5,23.421
169,23.35
169.5,23.102
170,22.604
170.5,21.961
171,21.618
171.5,21.734
172,21.893
172.5,21.813
173,21.678
173.5,21.782
174,22.303
174.5,23.004
175,23.036
175.5,22.24
176,23.008
176.5,28.309
177,36.59
177.5,42.444
178,43.662
178.5,43.271
179,43.941
179.5,45.079
180,45.733
180.5,46.093
181,46.347
181.5,46.485
182,46.588
182.5,46.55
183,46.292
183.5,46.13
184,46.327
184.5,46.627
185,46.665
185.5,46.514
186,46.48
186.5,46.618
187,46.742
187.5,46.763
188,46.812
188.5,46.978
189,47.098
189.5,46.956
190,46.621
190.5,46.373
191,46.275
191.5,46.092
192,45.724
192.5,45.409
193,45.307
193.5,45.283
194,45.299
194.5,45.52
195,45.86
195.5,45.913
196,45.524
196.5,45.081
197,45.108
197.5,45.65
198,46.231
198.5,46.45
199,46.348
199.5,46.208
200,46.257
200.5,46.515
201,46.765
201.5,46.814
202,46.747
202.5,46.714
203,46.654
203.5,46.471
204,46.29
204.5,46.271
205,46.342
205.5,46.355
206,46.349
206.5,46.419
207,46.476
207.5,46.417
208,46.341
208.5,46.369
209,46.418
209.5,46.336
210,46.125
210.5,45.941
211,45.978
211.5,46.239
212,46.439
212.5,46.412
213,46.448
213.5,46.835
214,47.284
214.5,47.293
215,46.851
215.5,46.405
216,46.309
216.5,46.518
217,46.734
217.5,46.748
218,46.634
218.5,46.561
219,46.528
219.5,46.42
220,46.215
220.5,45.975
221,45.739
221.5,45.559
222,45.53
222.5,45.657
223,45.79
223.5,45.757
224,45.555
224.5,45.424
225,45.641
225.5,46.114
226,46.383
226.5,46.2
227,45.854
227.5,45.722
228,45.795
228.5,45.843
229,45.775
229.5,45.658
230,45.543
230.5,45.409
231,45.231
231.5,45.043
232,44.94
232.5,44.94
233,44.906
233.5,44.785
234,44.747
234.5,44.86
235,44.905
235.5,44.82
236,44.93
236.5,45.405
237,45.899
237.5,46
238,45.681
238.5,45.229
239,44.985
239.5,45.101
240,45.411
240.5,45.566
241,45.366
241.5,44.952
242,44.631
242.5,44.55
243,44.619
243.5,44.639
244,44.412
244.5,43.954
245,43.645
245.5,43.811
246,44.203
246.5,44.342
247,44.248
247.5,44.368
248,44.87
248.5,45.354
249,45.364
249.5,44.959
250,44.568
250.5,44.423
251,44.423
251.5,44.467
252,44.551
252.5,44.601
253,44.487
253.5,44.26
254,44.126
254.5,44.134
255,44.127
255.5,44.023
256,43.835
256.5,43.565
257,43.365
257.5,43.447
258,43.614
258.5,43.438
259,43.103
259.5,43.315
260,44.149
260.5,44.792
261,44.689
261.5,44.193
262,43.853
262.5,43.778
263,43.838
263.5,43.962
264,44.098
264.5,44.122
265,43.868
265.5,43.376
266,43.041
266.5,43.195
267,43.549
267.5,43.504
268,42.961
268.5,42.396
269,42.291
269.5,42.681
270,43.096
270.5,43.155
271,43.222
271.5,43.828
272,44.63
272.5,44.852
273,44.461
273.5,44.061
274,43.968
274.5,44.015
275,44.032
275.5,44.075
276,44.217
276.5,44.288
277,43.984
277.5,43.279
278,42.574
278.5,42.353
279,42.641
279.5,42.89
280,42.65
280.5,42.238
281,42.268
281.5,42.676
282,42.866
282.5,42.776
283,43.064
283.5,44.003
284,44.917
284.5,45.151
285,44.891
285.5,44.672
286,44.679
286.5,44.761
287,44.708
287.5,44.475
288,44.287
288.5,44.365
289,44.576
289.5,44.588
290,44.346
290.5,44.072
291,43.852
291.5,43.585
292,43.347
292.5,43.327
293,43.348
293.5,43.104
294,42.958
294.5,43.652
295,44.991
295.5,45.808
296,45.483
296.5,44.639
297,44.165
297.5,44.27
298,44.633
298.5,44.945
299,45.048
299.5,44.882
300,44.525
300.5,44.231
301,44.226
301.5,44.377
302,44.233
302.5,43.586
303,42.813
303.5,42.45
304,42.662
304.5,43.212
305,43.697
305.5,43.892
306,44.117
306.5,44.856
307,45.834
307.5,46.146
308,45.505
308.5,44.646
309,44.362
309.5,44.669
310,45.036
310.5,45.064
311,44.77
311.5,44.397
312,44.222
312.5,44.389
313,44.647
313.5,44.521
314,44.001
314.5,43.63
315,43.709
315.5,43.999
316,44.244
316.5,44.389
317,44.435
317.5,44.582
318,45.151
318.5,45.987
319,46.45
319.5,46.235
320,45.732
320.5,45.436
321,45.449
321.5,45.597
322,45.702
322.5,45.65
323,45.443
323.5,45.264
324,45.32
